# time_ps avg_interchain_contacts
138800.000000 54.9322985090
139000.000000 56.6807917468
139200.000000 57.1705416450
139400.000000 57.9690879375
139600.000000 56.4522729817
139800.000000 57.1358427093
140000.000000 58.1235169465
140200.000000 56.6599478645
140400.000000 56.5351518504
140600.000000 56.1612941318
140800.000000 54.3546544889
141000.000000 55.4569579474
141200.000000 56.2979216885
141400.000000 58.2386923321
141600.000000 57.1848404752
141800.000000 56.0853494473
142000.000000 57.6453729155
142200.000000 58.1576140897
142400.000000 58.1446203263
142600.000000 56.1997582376
142800.000000 57.3063468257
143000.000000 57.6665350394
143200.000000 58.7156406756
143400.000000 58.1925069940
143600.000000 58.5681755468
143800.000000 57.6949874467
144000.000000 59.0762297258
144200.000000 58.7176964873
144400.000000 58.8585610740
144600.000000 59.0781353902
144800.000000 58.4253055864
145000.000000 57.3314751251
145200.000000 57.0558070453
145400.000000 56.2666595208
145600.000000 57.5846018753
145800.000000 56.1503330167
146000.000000 55.1578513531
146200.000000 56.1286576621
146400.000000 57.1346484751
146600.000000 56.0503270594
146800.000000 58.1074520606
147000.000000 57.0828351433
147200.000000 59.1895142642
147400.000000 60.3080639347
147600.000000 62.1113868260
147800.000000 60.4293097572
148000.000000 59.8708428165
148200.000000 59.3541658940
148400.000000 59.2053572132
148600.000000 58.7754899415
148800.000000 60.5000985406
149000.000000 61.5040335989
149200.000000 61.1286549185
149400.000000 59.9477871825
149600.000000 58.3575312034
149800.000000 60.0937494951
150000.000000 59.8082088727
150200.000000 58.1856954588
150400.000000 57.4884418955
150600.000000 57.2421905925
150800.000000 56.5976851556
151000.000000 57.0210114895
151200.000000 57.6400694284
151400.000000 57.5551643311
151600.000000 57.5315660175
151800.000000 55.7535424604
152000.000000 55.9269707588
152200.000000 56.4816252024
152400.000000 57.2660524300
152600.000000 57.0021917257
152800.000000 57.7522941972
153000.000000 56.9956889381
153200.000000 57.8079018303
153400.000000 58.3575299662
153600.000000 58.7425913937
153800.000000 58.0311533737
154000.000000 57.7049479737
154200.000000 57.5343425832
154400.000000 58.0563325891
154600.000000 57.5480525362
154800.000000 55.9792371537
155000.000000 54.9754509218
155200.000000 53.5448562304
155400.000000 55.0274761409
155600.000000 54.2216371553
155800.000000 53.8252141097
156000.000000 54.9417127597
156200.000000 54.6436101485
156400.000000 54.9080727424
156600.000000 54.5259204953
156800.000000 54.4497889052
157000.000000 55.0356767601
157200.000000 55.9789764196
157400.000000 55.7875067903
157600.000000 54.6723276212
157800.000000 54.6636232855
158000.000000 54.6669050308
158200.000000 53.2296618498
158400.000000 52.7946410645
158600.000000 52.9995448192
158800.000000 55.0966138345
159000.000000 55.9864632011
159200.000000 56.4441046677
159400.000000 54.4774879055
159600.000000 55.8139421719
159800.000000 54.5997863341
160000.000000 53.6798103404
160200.000000 53.6990497270
160400.000000 54.0865806833
160600.000000 55.3393752909
160800.000000 57.2462531345
161000.000000 56.2167721433
161200.000000 56.3494908327
161400.000000 54.1678794167
161600.000000 56.4030962142
161800.000000 57.4271321706
162000.000000 56.5561371149
162200.000000 57.0775001302
162400.000000 56.2609092219
162600.000000 55.9555322234
162800.000000 55.5246545193
163000.000000 56.0617543350
163200.000000 55.8095206834
163400.000000 56.2936246179
163600.000000 56.3702340234
163800.000000 58.9701984302
164000.000000 56.3841048930
164200.000000 55.1392478796
164400.000000 55.4381538313
164600.000000 56.2488770499
164800.000000 56.2988942329
165000.000000 56.5634754814
165200.000000 56.5231850178
165400.000000 54.8348518713
165600.000000 55.2642692293
165800.000000 54.6069666746
166000.000000 55.6524945505
166200.000000 54.9252256445
166400.000000 55.5103135161
166600.000000 56.1482900380
166800.000000 56.0103078332
167000.000000 56.2302250364
167200.000000 57.1568293470
167400.000000 56.4631446877
167600.000000 56.0489556637
167800.000000 55.3620773252
168000.000000 54.9815310237
168200.000000 55.6827286089
168400.000000 55.5338359115
168600.000000 55.3889079944
168800.000000 53.4410631646
169000.000000 54.6074455781
169200.000000 54.3125487349
169400.000000 53.2024594000
169600.000000 51.6311162545
169800.000000 51.1685391772
170000.000000 51.8109639477
170200.000000 53.1242074445
170400.000000 54.0258577712
170600.000000 54.0644827588
170800.000000 53.3374020220
171000.000000 53.6136265188
171200.000000 55.3059797739
171400.000000 55.6658327502
171600.000000 53.8955790011
171800.000000 56.2206612205
172000.000000 56.0734450563
172200.000000 54.4078167654
172400.000000 53.9047040737
172600.000000 54.8949300960
172800.000000 54.7231619202
173000.000000 54.1444891493
173200.000000 54.2861077279
173400.000000 54.5568553199
173600.000000 56.3536988080
173800.000000 55.2926457921
174000.000000 55.3828069164
174200.000000 53.3612182626
174400.000000 54.4106556125
174600.000000 55.8294362848
174800.000000 54.2528432073
175000.000000 55.3686733783
175200.000000 54.8758216086
175400.000000 54.6836452584
175600.000000 53.6282254285
175800.000000 53.2707670426
176000.000000 53.9137073590
176200.000000 55.6242176300
176400.000000 54.1079815816
176600.000000 54.9781560536
176800.000000 56.4525199895
177000.000000 57.2117362048
177200.000000 56.3010307435
177400.000000 55.2388578416
177600.000000 56.0615779452
177800.000000 55.1920249449
178000.000000 54.9863045085
178200.000000 54.8835650499
178400.000000 52.9620895230
178600.000000 52.7492897333
178800.000000 53.0034675496
179000.000000 52.7758144410
179200.000000 53.0545957756
179400.000000 53.3694489318
179600.000000 53.8762311051
179800.000000 55.5492119400
180000.000000 56.1348488308
180200.000000 55.9601361841
180400.000000 55.7682599973
180600.000000 56.6994732823
180800.000000 56.8979642729
181000.000000 56.0596488939
181200.000000 55.7751430417
181400.000000 57.8059505895
181600.000000 56.0137167536
181800.000000 56.7036314498
182000.000000 55.4296037168
182200.000000 54.8425189379
182400.000000 54.6343298210
182600.000000 55.6232642648
182800.000000 55.1841771333
183000.000000 56.1237713723
183200.000000 55.9549044977
183400.000000 57.1284192739
183600.000000 57.2761380010
183800.000000 57.0753251747
184000.000000 55.8640203120
184200.000000 55.6878423535
184400.000000 54.8904918517
184600.000000 53.6269701233
184800.000000 53.5028806228
185000.000000 55.1518580657
185200.000000 55.2012241675
185400.000000 55.5610511454
185600.000000 56.2248991614
185800.000000 55.5568757969
186000.000000 55.3188853961
186200.000000 54.9094013482
186400.000000 56.1128385479
186600.000000 56.5646579105
186800.000000 58.1066849602
187000.000000 56.9794990891
187200.000000 57.2506230989
187400.000000 55.9947715180
187600.000000 57.1390095138
187800.000000 56.3718678648
188000.000000 55.0425538066
188200.000000 55.3964667327
188400.000000 56.2110498192
188600.000000 55.9139076139
188800.000000 54.8096932762
189000.000000 54.3296865958
189200.000000 53.9191978740
189400.000000 54.8005131472
189600.000000 55.7157234779
189800.000000 56.4811186997
190000.000000 55.2080259624
190200.000000 56.1484280818
190400.000000 56.0470017777
190600.000000 56.1641582711
190800.000000 55.2341183588
191000.000000 54.7715480546
191200.000000 55.1443914724
191400.000000 56.0296676488
191600.000000 57.5402467532
191800.000000 57.1282349711
192000.000000 57.2849107102
192200.000000 56.7213808123
192400.000000 56.8850851354
192600.000000 57.2547720124
192800.000000 57.7480839163
193000.000000 57.5759373206
193200.000000 57.3070111616
193400.000000 57.5488441560
193600.000000 57.7898726900
193800.000000 57.5728273670
194000.000000 55.9104976220
194200.000000 55.1913173591
194400.000000 56.3527485264
194600.000000 56.8920974550
194800.000000 58.4368646404
195000.000000 59.0704562154
195200.000000 59.4612291862
195400.000000 58.3267959937
195600.000000 57.3669765746
195800.000000 56.7895968983
196000.000000 56.9977209059
196200.000000 57.4086810035
196400.000000 57.1036715536
196600.000000 57.4370473424
196800.000000 57.3005167915
197000.000000 55.8273387520
197200.000000 55.7259763627
197400.000000 56.4842493699
197600.000000 56.5121366229
197800.000000 57.9281587248
198000.000000 59.3356423333
198200.000000 58.4197255116
198400.000000 57.3195072473
198600.000000 55.8823265822
198800.000000 56.5781620441
199000.000000 56.7425029728
199200.000000 56.4374768712
199400.000000 56.1721524865
199600.000000 55.9384453351
199800.000000 57.5511785989
200000.000000 56.3608355391
200200.000000 55.3979607167
200400.000000 55.6706857729
200600.000000 57.3557947861
200800.000000 56.6610543084
201000.000000 56.3992996297
201200.000000 56.7724249628
201400.000000 56.6001204889
201600.000000 54.8518651625
201800.000000 54.0281596743
202000.000000 54.5732710310
202200.000000 54.9212918333
202400.000000 54.7458361942
202600.000000 55.3757413761
202800.000000 55.5000286763
203000.000000 54.9467783826
203200.000000 55.5034114448
203400.000000 55.7568801543
203600.000000 54.3054695949
203800.000000 54.9081902511
204000.000000 54.6771690089
204200.000000 53.7708150182
204400.000000 52.8586206873
204600.000000 53.4035820584
204800.000000 52.8971026138
205000.000000 53.9419086429
205200.000000 54.3690143297
205400.000000 52.9163536681
205600.000000 52.4654533678
205800.000000 52.3693459685
206000.000000 51.8259110561
206200.000000 52.0671841931
206400.000000 51.7812447330
206600.000000 51.5898368909
206800.000000 51.2252131938
207000.000000 52.1019722846
207200.000000 54.0815531834
207400.000000 54.6947437118
207600.000000 55.3512988227
207800.000000 54.1390596682
208000.000000 55.3134112398
208200.000000 54.0752554449
208400.000000 54.6933686159
208600.000000 56.1518453310
208800.000000 54.5511342433
209000.000000 52.3569015211
209200.000000 52.6232837709
209400.000000 51.7433311653
209600.000000 51.4678291198
209800.000000 52.5160709754
210000.000000 52.0974751499
210200.000000 54.3399472693
210400.000000 55.4095085242
210600.000000 55.7861981786
210800.000000 55.3367674532
