# time_ps avg_intrachain_contacts
144400.000000 78.2303468004
144600.000000 79.7059095427
144800.000000 79.8390291610
145000.000000 80.8186261618
145200.000000 79.7290758657
145400.000000 81.6753920033
145600.000000 79.8714119338
145800.000000 78.3697334806
146000.000000 79.7138698027
146200.000000 77.4830637392
146400.000000 77.3792514938
146600.000000 76.1138825206
146800.000000 77.0643839399
147000.000000 78.1238762338
147200.000000 76.8371558064
147400.000000 77.2675960793
147600.000000 75.2220892376
147800.000000 75.2989705811
148000.000000 76.6735951488
148200.000000 77.0323311446
148400.000000 75.7928133826
148600.000000 77.4540022680
148800.000000 77.6561396892
149000.000000 79.0872318623
149200.000000 77.7695616639
149400.000000 79.6093352498
149600.000000 78.5611528469
149800.000000 77.6534715696
150000.000000 78.0832891201
150200.000000 77.1242131248
150400.000000 77.4781542164
150600.000000 77.3474558303
150800.000000 77.4545100190
151000.000000 76.3798544184
151200.000000 76.5042114514
151400.000000 76.1511203598
151600.000000 75.7909056079
151800.000000 75.8294707462
152000.000000 76.2606218723
152200.000000 75.9180215083
152400.000000 77.8677080448
152600.000000 76.7172093844
152800.000000 75.9576464924
153000.000000 77.0052861813
153200.000000 75.1916495558
153400.000000 76.0199286889
153600.000000 77.8129171176
153800.000000 76.8979338817
154000.000000 78.4943867898
154200.000000 78.1392749147
154400.000000 78.0504885099
154600.000000 80.1988882594
154800.000000 80.7092476121
155000.000000 79.1490718452
155200.000000 79.2947528958
155400.000000 77.6705559154
155600.000000 77.4598431659
155800.000000 77.7207416254
156000.000000 78.1907522339
156200.000000 78.4944854739
156400.000000 77.0589712119
156600.000000 75.8363173113
156800.000000 75.8904141859
157000.000000 77.0763975004
157200.000000 76.9565740741
157400.000000 77.7088649149
157600.000000 77.8780324756
157800.000000 78.6633337290
158000.000000 79.5273790242
158200.000000 80.8689204637
158400.000000 80.4039113368
158600.000000 81.1258562624
158800.000000 79.2719360724
159000.000000 78.4156826316
159200.000000 78.9399463219
159400.000000 79.6686554314
159600.000000 81.0083270041
159800.000000 81.4807570950
160000.000000 80.9667110087
160200.000000 81.0635412864
